jurisdiction,year,prisoner_count,state_population,incarceration rate (%)
MISSISSIPPI,2011,15390,2977457,0.516884039
MISSOURI,2011,30969,6008984,0.515378307
MONTANA,2011,3125,997667,0.313230767
NEBRASKA,2011,4657,1842234,0.252790905
NEVADA,2011,12159,2720028,0.447017457
NEW HAMPSHIRE,2011,2423,1317807,0.183866074
NEW JERSEY,2011,23642,8834773,0.267601669
NEW MEXICO,2011,6687,2078674,0.321695465
NEW YORK,2011,55196,19501616,0.283032955
NORTH CAROLINA,2011,39662,9651103,0.410958209
NORTH DAKOTA,2011,1385,684740,0.202266554
OHIO,2011,50961,11541007,0.441564588
OKLAHOMA,2011,23750,3784163,0.627615671
OREGON,2011,13728,3868229,0.354891088
PENNSYLVANIA,2011,49710,12743948,0.390067505
RHODE ISLAND,2011,3032,1050646,0.288584357
SOUTH CAROLINA,2011,22363,4673348,0.478522036
SOUTH DAKOTA,2011,3562,823593,0.432495177
TENNESSEE,2011,19831,6399787,0.309869688
TEXAS,2011,159956,25631778,0.62405347
UTAH,2011,5294,2814347,0.188107579
VERMONT,2011,2053,626592,0.327645422
VIRGINIA,2011,30531,8104384,0.376722031
WASHINGTON,2011,17109,6823267,0.250744988
WEST VIRGINIA,2011,5149,1854908,0.277587891
WISCONSIN,2011,22388,5709843,0.392094844
WYOMING,2011,2162,567356,0.381065856
ALABAMA,2012,26768,4817528,0.555637663
ALASKA,2012,6308,730307,0.863746342
ARIZONA,2012,40013,6551149,0.610778354
ARKANSAS,2012,14043,2949828,0.476061655
CALIFORNIA,2012,132935,37999878,0.349830071
COLORADO,2012,20328,5189458,0.391717208
CONNECTICUT,2012,17164,3591765,0.477870907
DELAWARE,2012,6730,917053,0.733872524
FLORIDA,2012,99835,19320749,0.516724274
GEORGIA,2012,55178,9915646,0.556474081
HAWAII,2012,5297,1390090,0.381054464
IDAHO,2012,7715,1595590,0.483520203
ILLINOIS,2012,49348,12868192,0.383488217
INDIANA,2012,28034,6537782,0.428799859
IOWA,2012,8735,3075039,0.284061438
KANSAS,2012,9505,2885398,0.329417294
KENTUCKY,2012,12998,4379730,0.296776285
LOUISIANA,2012,18601,4602134,0.40418206
MAINE,2012,1977,1328501,0.14881434
MARYLAND,2012,21810,5884868,0.370611541
MASSACHUSETTS,2012,11127,6645303,0.167441575
MICHIGAN,2012,43594,9882519,0.441122349
MINNESOTA,2012,9421,5379646,0.175123047
MISSISSIPPI,2012,15791,2986450,0.528754876
MISSOURI,2012,31205,6024522,0.517966405
MONTANA,2012,3095,1005494,0.307808898
NEBRASKA,2012,4721,1855350,0.254453338
NEVADA,2012,12594,2754354,0.457239701
NEW HAMPSHIRE,2012,2568,1321617,0.194307428
NEW JERSEY,2012,23050,8867749,0.259930677
NEW MEXICO,2012,6640,2083540,0.318688386
NEW YORK,2012,54058,19576125,0.276142495
NORTH CAROLINA,2012,37378,9748364,0.38342844
NORTH DAKOTA,2012,1413,701345,0.201470033
OHIO,2012,50872,11553031,0.440334662
