,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
209,293,6155967,4.8099,3.9,53774,20349,0.330506538
210,434,6196638,7.1074,4.8,44132,21345,0.344298017
211,542,6233007,8.7959,5.9,50311,21984,0.353069451
212,610,6278616,9.8413,6.2,40850,22760,0.363229029
213,736,6332669,11.7648,4.7,60907,24901,0.394407557
214,781,6379599,12.369000000000002,7.0,48801,25137,0.396152169
215,830,6424806,13.2099,5.1,62963,26392,0.413875817
216,896,6459325,14.0319,4.3,65262,26748,0.416433589
217,927,6483802,14.3781,4.6,50121,27273,0.420190854
218,975,6516922,15.3205,5.9,39622,27402,0.420511289
219,1011,6537334,15.981,5.4,42158,28034,0.428799859
220,1064,6570902,16.5961,5.5,51485,28495,0.433666788
221,1172,6596855,18.1805,4.5,54855,32493,0.492552891
222,1245,6619680,19.4945,5.4,50553,26586,0.401620622
223,1526,6633053,23.9642,6.2,57196,25143,0.37900171
224,87,2931997,3.0075,5.3,40241,7962,0.271558309
225,91,2934234,3.1256,6.3,60106,8398,0.286051011
226,96,2941999,3.3916,3.8,67620,8546,0.290485035
227,122,2953635,4.2333,3.7,54842,8525,0.288698854
228,141,2964454,4.8471,5.0,62967,8737,0.294619096
229,187,2982644,6.5509,5.9,53027,8838,0.296369822
230,203,2999212,6.8812,5.3,42499,8692,0.290892443
231,209,3016734,7.1815,3.7,54453,8723,0.290519241
232,207,3032870,7.1267,6.8,43749,8914,0.296357272
233,253,3046355,8.5698,5.2,57812,9457,0.31004504
234,250,3062309,8.4393,5.4,53952,9115,0.297477528
235,259,3074186,8.6605,7.3,56307,8735,0.284061438
236,275,3090416,9.2929,4.9,43777,8707,0.281566619
237,264,3107126,8.7958,6.3,46398,8845,0.284668211
238,309,3123899,10.2763,3.4,52888,8864,0.28374797
239,314,3134693,10.6239,5.5,41208,9049,0.289025188
240,138,2702162,5.2579,7.2,39085,8574,0.317305824
241,170,2713535,6.4487,5.9,41086,8967,0.330669758
242,188,2723004,7.0865,5.0,50003,9168,0.33646679
243,224,2734373,8.4787,4.3,53442,8991,0.328895265
244,241,2745299,9.0751,5.5,46158,9090,0.330765323
245,257,2762931,9.4872,5.7,51738,8833,0.319564411
246,270,2783785,9.9794,4.0,47922,8721,0.3141574
247,219,2808076,8.001,2.9,56263,8556,0.305338717
248,304,2832704,11.0609,5.3,48121,8644,0.30666108
249,269,2853118,9.559,3.7,46071,9055,0.316703292
250,280,2871238,10.1164,4.1,48972,9330,0.325043391
251,318,2885905,11.4807,4.9,64247,9505,0.329417294
252,331,2893957,11.9586,5.0,57255,9610,0.33185982
253,332,2904021,11.732999999999999,5.4,57020,9539,0.328475586
254,329,2911641,11.8357,5.2,39018,9533,0.32740987
255,313,2907289,11.089,4.7,47044,9653,0.331977064
256,345,4068132,8.4386,5.0,51904,10720,0.263467308
257,426,4089875,10.4519,6.2,51775,11583,0.28321526
258,560,4117170,13.5906,4.5,48407,11660,0.283134164
259,526,4146101,12.7705,5.9,44375,13322,0.321644875
260,638,4182742,15.3455,3.4,55766,14904,0.35718668
261,728,4219239,17.3826,5.2,41553,15589,0.370630664
262,708,4256672,16.6969,5.0,47680,15364,0.362232563
263,764,4289878,17.9429,5.1,43424,15260,0.35744025
264,769,4317074,17.9621,4.5,66692,14984,0.347325163
265,1007,4339367,23.5709,3.6,67819,14501,0.333569269
266,1058,4369356,25.0026,4.1,47333,14001,0.32062277
267,1078,4380415,24.9647,3.8,52196,12998,0.296776285
268,1019,4395295,23.6849,4.4,45088,12141,0.275957971
269,1077,4413457,24.7459,5.4,49764,12114,0.274478714
